"movement","habitat_cover","metapop_cap","alpha","mean_distance","edge_density","num_patches","mean_patch_size","mean_dispersal"
"result_final_linear_10",16.27,283.662864332943,0.925438790397453,25.0978197643729,10230,727,2.23796423658872,1.08056849396871
"result_final_linear_10",43.82,668680.091217166,0.978472899540198,25.8709322398426,18474,108,40.5740740740741,1.02200071199715
"result_final_linear_10",13.45,77.3542886818888,0.922118048156829,25.6357043930709,8864,696,1.93247126436782,1.08445984979781
"result_final_linear_10",23.83,999.254893400319,0.935703405238072,24.7992500808364,13616,648,3.67746913580247,1.06871471708022
"result_final_linear_10",9.9,47.5890231078572,0.918263350998777,25.5082251469996,6782,612,1.61764705882353,1.08901220865705
"result_final_linear_10",24.24,778.720997322044,0.936325884912003,25.1554524773655,13538,663,3.65610859728507,1.06800422386484
"result_final_linear_10",40.01,370787.827671352,0.967767955088081,26.352964537796,18024,193,20.7305699481865,1.03330555092515
"result_final_linear_10",25.86,2443.54700241815,0.938861310910749,24.6283792912016,14474,597,4.33165829145729,1.06512004316159
"result_final_linear_10",19.58,345.330671407523,0.929667992231573,25.1562012424556,11918,708,2.76553672316384,1.07565282268093
"result_final_linear_10",10.84,59.1855616857809,0.919251072253382,25.3254796300132,7298,610,1.77704918032787,1.08784208165096
"result_final_linear_10",23.08,752.453373691084,0.934583981337481,25.2645749491019,13138,643,3.58942457231726,1.06999479979199
"result_final_linear_10",5.96,32.8742788527946,0.914359054138146,25.287945787032,4200,420,1.41904761904762,1.09366227137388
"result_final_linear_10",27.21,1682.24580522492,0.941071520918446,25.4576993144532,14446,576,4.72395833333333,1.06261849155104
"result_final_linear_10",12.48,66.9845224534212,0.921030476511197,25.0354415203689,8072,644,1.93788819875776,1.08574040219378
"result_final_linear_10",38.42,236869.802541568,0.963753599599349,26.0567799942347,17792,236,16.2796610169492,1.03760961351088
"result_final_linear_10",35.16,44965.9094545129,0.956229353468617,26.2545123976861,16770,324,10.8518518518519,1.04577421344849
"result_final_linear_10",31.29,11732.2377447454,0.948352012366808,25.3160975190425,15964,462,6.77272727272727,1.05446077717945
"result_final_linear_10",6.02,16.5222107271873,0.914415816922239,25.693969928843,4226,441,1.36507936507937,1.09359438178336
"result_final_linear_10",41.63,758528.434874201,0.972120445006995,24.3374948451704,18078,154,27.0324675324675,1.02867911598424
"result_final_linear_10",38.67,509448.936495277,0.96436882822819,25.8206876599092,17962,231,16.7402597402597,1.03694766019892
"result_final_linear_10",34.89,52137.437902445,0.955644924558211,25.1407905934011,16696,339,10.2920353982301,1.04641376132698
"result_final_linear_10",27.22,2663.14846908791,0.941088238336609,25.082599427115,14618,552,4.93115942028986,1.06259961527892
"result_final_linear_10",29.15,4956.61744436007,0.944414822713943,25.069790048609,15302,504,5.78373015873016,1.05885673959068
"result_final_linear_10",20.3,574.333749828225,0.930639887902849,24.9751927424472,12232,672,3.02083333333333,1.07452948557089
"result_final_linear_10",29.85,8709.03568946228,0.94567268805608,24.9671261902521,15772,474,6.29746835443038,1.05744832501782
"result_final_linear_10",9.54,47.0651832630302,0.917891062586249,25.7656333052165,6322,577,1.65337954939341,1.08945390227725
"result_final_linear_10",33.34,12137.6568310223,0.952394559378215,25.4813975032334,16538,393,8.48346055979644,1.04998499849985
"result_final_linear_10",33.97,10942.8093126836,0.953694609740597,24.6386779281918,16766,363,9.35812672176309,1.0485536877177
"result_final_linear_10",24.6,2309.98739906471,0.936878727634195,24.8283685750626,13974,626,3.9297124600639,1.06737400530504
"result_final_linear_10",28.88,5642.65535925612,0.943937141643661,24.8696441642366,15246,514,5.61867704280156,1.05939257592801
"result_final_linear_10",32.81,19477.7625784824,0.951322421702441,25.1407096511509,16542,393,8.34860050890585,1.05116832862033
"result_final_linear_10",2.21,11.9654367121233,0.910962477177032,25.2277801467558,1602,179,1.23463687150838,1.09774005522037
"result_final_linear_10",35.71,71606.805006936,0.957437302674689,25.3268699021945,17308,284,12.5739436619718,1.0444548141235
"result_final_linear_10",40.45,1096702.22688262,0.968922876667751,25.9972516588003,18196,183,22.103825136612,1.03207388748951
"result_final_linear_10",39.46,196253.191373023,0.966351679223599,25.0100637643833,17660,205,19.2487804878049,1.03481995374959
"result_final_linear_10",30.72,6104.64352228658,0.947276307153796,25.3316631531567,15604,456,6.73684210526316,1.05565819861432
"result_final_linear_10",7.59,16.7596256631044,0.915929905245213,24.9431623714733,5298,510,1.48823529411765,1.09178660318147
"result_final_linear_10",34.21,41119.7723003553,0.954197366130997,25.7641604990783,16936,375,9.12266666666667,1.04800121599027
"result_final_linear_10",3.45,8.7077265516796,0.912053655771774,25.5104306478634,2488,276,1.25,1.09642672190575
"result_final_linear_10",21.9,478.717195519298,0.932871476349737,25.5159542307145,12388,632,3.46518987341772,1.0719590268886
"result_final_linear_10",11.54,89.2757952704901,0.920001664031949,25.14465101536,7628,631,1.82884310618067,1.0869545557314
"result_final_linear_10",13.4,123.474339488137,0.92206132879046,25.1562012794476,8556,658,2.03647416413374,1.08452655889145
"result_final_linear_10",39.23,233729.861967948,0.965768228338948,25.0316329187606,17604,201,19.5174129353234,1.03544512094784
