"","p","replicate","edge_density","mean_distance","mean_nearest_distance","num_patches","mean_patch_area"
"54",0.01,54,4720,51.0887077463875,1.12462851267183,692,2.15895953757225
"55",0.01,55,4667,50.6399632773024,1.13980578096711,691,2.14905933429812
"56",0.01,56,4798,50.4737637322957,1.13783766657127,686,2.24489795918367
"57",0.01,57,4579,51.0135801439686,1.12049283359348,691,2.03617945007236
"58",0.01,58,4516,49.9164547214286,1.1430078100755,673,2.11589895988113
"59",0.01,59,4813,50.6288949958094,1.11895375398546,672,2.30654761904762
"60",0.01,60,4646,51.0473313901352,1.12888216631195,682,2.13782991202346
"61",0.01,61,4913,49.9241267436612,1.1152664466669,697,2.26111908177905
"62",0.01,62,4666,50.8513325299707,1.11428347635923,696,2.07040229885057
"63",0.01,63,4712,51.6408204024515,1.10973622981974,704,2.09517045454545
"64",0.01,64,4836,50.622034522279,1.1299784967146,713,2.1304347826087
"65",0.01,65,4761,50.7537610455898,1.1238302152746,687,2.17612809315866
"66",0.01,66,4824,51.3571681438391,1.11504973630822,689,2.2322206095791
"67",0.01,67,4805,50.2373594474323,1.142347545942,719,2.06954102920723
"68",0.01,68,4911,51.4704395546063,1.08784091703558,711,2.13642756680731
"69",0.01,69,4874,50.4486493250408,1.12408167143641,713,2.15427769985975
"70",0.01,70,4841,50.7718835730916,1.10877840327486,677,2.21418020679468
"71",0.01,71,4838,49.8729995120704,1.11727058092492,703,2.19487908961593
"72",0.01,72,4868,50.7945441370352,1.09404270001349,698,2.1919770773639
"73",0.01,73,4859,50.7714092887421,1.10712685794868,700,2.28285714285714
"74",0.01,74,4769,50.7581908527352,1.10527743321561,679,2.14285714285714
"75",0.01,75,4912,50.2012148284754,1.10564339254178,701,2.21112696148359
"76",0.01,76,4530,51.0018937281516,1.16860926176115,677,2.09748892171344
"77",0.01,77,4925,50.5123716825191,1.1094219961269,745,2.03892617449664
"78",0.01,78,4589,50.5573634684819,1.1148375431254,685,2.12116788321168
"79",0.01,79,4781,50.016316575732,1.10851972068822,703,2.14651493598862
"80",0.01,80,4680,50.5385509785988,1.11769462440691,676,2.18934911242604
"81",0.01,81,4700,50.3614635894548,1.09657570939604,674,2.22106824925816
"82",0.01,82,4867,51.1748772424067,1.12213815331401,713,2.12482468443198
"83",0.01,83,4721,51.4792876921286,1.10952152291451,675,2.24148148148148
"84",0.01,84,4813,50.3209262766937,1.10319976152506,674,2.33086053412463
"85",0.01,85,4626,50.3177627656964,1.09572570080922,688,2.15261627906977
"86",0.01,86,4726,51.6331654025372,1.12848714740247,712,2.0435393258427
"87",0.01,87,4677,49.8710200380295,1.1289647392639,677,2.15805022156573
"88",0.01,88,4759,50.3453671512602,1.11835532907063,677,2.24963072378139
"89",0.01,89,4818,50.6743297480884,1.11827140810681,693,2.1991341991342
"90",0.01,90,4588,50.1161636718095,1.12426049227606,705,2.03971631205674
"91",0.01,91,4928,50.3788443024425,1.11194472048752,669,2.34678624813154
"92",0.01,92,4942,50.7201739901895,1.0887704007239,717,2.20781032078103
"93",0.01,93,4749,50.8504910081131,1.13310527395454,667,2.2743628185907
"94",0.01,94,4821,50.2920908673028,1.11418586563249,734,2.01089918256131
"95",0.01,95,4749,50.7290248770215,1.10392004794529,694,2.15129682997118
"96",0.01,96,4879,50.0469285751289,1.11564802024811,704,2.16335227272727
"97",0.01,97,4779,50.385929870583,1.11257198639981,681,2.22760646108664
"98",0.01,98,4826,50.895893936325,1.11714076147358,679,2.2739322533137
"99",0.01,99,4752,50.5443898245951,1.11934143413492,685,2.2043795620438
"100",0.01,100,4595,50.2563813761142,1.1087809747593,674,2.13056379821958
"101",0.1,1,3263,50.4921324271496,1.37189731457028,365,4.31232876712329
"102",0.1,2,3109,49.7556528721424,1.3449678901162,411,3.33576642335766
"103",0.1,3,3220,50.8816389016936,1.38345074658787,400,3.7175
"104",0.1,4,2931,50.4311115486363,1.42372312430778,369,3.63143631436314
"105",0.1,5,3063,52.3858608483059,1.41234444095489,363,4.0137741046832
"106",0.1,6,3146,50.4689104510813,1.34782225512222,372,4.08870967741935
"107",0.1,7,3128,51.108205295731,1.41379374866486,395,3.44303797468354
"108",0.1,8,3117,51.1220425021809,1.3989708715855,353,4.20963172804533
"109",0.1,9,3337,50.5449036446403,1.3216583324638,392,4.05612244897959
"110",0.1,10,3318,50.9868970420287,1.28336206068336,376,4.23936170212766
"111",0.1,11,3054,50.5777240348099,1.3802145810896,364,3.87912087912088
"112",0.1,12,3191,50.5209937037932,1.30188649819857,368,3.98369565217391
"113",0.1,13,3013,50.1152992499734,1.36119704667826,375,3.69333333333333
"114",0.1,14,3122,50.0171030273852,1.41404605300987,383,3.7467362924282
"115",0.1,15,3278,49.3252864441237,1.33227916862517,381,4.04724409448819
"116",0.1,16,3197,50.8588089710919,1.30986147956558,406,3.52709359605911
"117",0.1,17,3029,50.8210477969584,1.40969124357885,386,3.5440414507772
"118",0.1,18,3008,50.4125701246825,1.34759557857625,396,3.48232323232323
"119",0.1,19,3369,50.6416772149854,1.31738606049018,389,4.25706940874036
"120",0.1,20,3139,51.1273878621432,1.36971371502026,366,4.02185792349727
"121",0.1,21,3319,50.7437685039749,1.30078999362444,384,4.07552083333333
"122",0.1,22,3220,50.6042234550999,1.35435687715318,363,4.25068870523416
"123",0.1,23,3331,50.9130606701599,1.29196133378435,396,4.08333333333333
"124",0.1,24,3146,49.2534211049804,1.3319610719792,380,3.85789473684211
"125",0.1,25,3165,51.108633844703,1.38537534575954,368,4.10597826086957
"126",0.1,26,3153,50.7059091807873,1.33770336844496,374,3.9144385026738
"127",0.1,27,3270,50.9406032243118,1.37823611674687,385,3.88571428571429
"128",0.1,28,2984,50.8642956336001,1.39801998155703,362,4.01381215469613
"129",0.1,29,3159,50.5286515668136,1.4219956110384,371,3.8355795148248
"130",0.1,30,3314,51.2645751116732,1.32962089500804,358,4.57821229050279
"131",0.1,31,3198,50.7100864129924,1.30918378075944,388,3.90721649484536
"132",0.1,32,3191,51.180124841983,1.27627967170237,412,3.51456310679612
"133",0.1,33,3368,51.0947433351279,1.30286597587915,369,4.41192411924119
"134",0.1,34,3170,49.3622524745519,1.40634091208005,381,3.88451443569554
"135",0.1,35,3182,50.1249834913213,1.35042215034713,369,4.20325203252033
"136",0.1,36,3168,51.2708296789526,1.40442880710446,372,4.09408602150538
"137",0.1,37,3272,49.3493441834766,1.31370411594228,396,3.85353535353535
"138",0.1,38,3279,49.2030400741528,1.29628375220763,380,4.08684210526316
"139",0.1,39,3253,50.8874826026996,1.36540151608977,391,3.81074168797954
"140",0.1,40,3133,50.8466515223687,1.37572280392337,365,4.16986301369863
"141",0.1,41,3131,50.8595305427574,1.37381594885281,394,3.45177664974619
"142",0.1,42,3196,51.105735828149,1.32950248975034,398,3.80653266331658
"143",0.1,43,3088,49.3183468357804,1.41013390258916,380,3.72894736842105
"144",0.1,44,3568,48.8478813823409,1.26672194824849,390,4.53076923076923
"145",0.1,45,3116,50.5215936903945,1.36898456488634,396,3.45454545454545
"146",0.1,46,3155,51.3271902455837,1.31119113776295,379,3.9023746701847
"147",0.1,47,3060,51.1224476144985,1.33367748204208,372,3.93548387096774
"148",0.1,48,3091,50.4369174085895,1.38086585636838,386,3.66839378238342
