"","config_id","replicate","layer","x","y","patch","landscape_config"
"3392...3392","1","1","0",91.5,66.5,NA,0.01
"3393...3393","1","1","0",92.5,66.5,NA,0.01
"3394...3394","1","1","0",93.5,66.5,NA,0.01
"3395...3395","1","1","0",94.5,66.5,NA,0.01
"3396...3396","1","1","0",95.5,66.5,NA,0.01
"3397...3397","1","1","0",96.5,66.5,NA,0.01
"3398...3398","1","1","0",97.5,66.5,NA,0.01
"3399...3399","1","1","1",98.5,66.5,235,0.01
"3400...3400","1","1","0",99.5,66.5,NA,0.01
"3401...3401","1","1","0",0.5,65.5,NA,0.01
"3402...3402","1","1","0",1.5,65.5,NA,0.01
"3403...3403","1","1","0",2.5,65.5,NA,0.01
"3404...3404","1","1","0",3.5,65.5,NA,0.01
"3405...3405","1","1","0",4.5,65.5,NA,0.01
"3406...3406","1","1","1",5.5,65.5,210,0.01
"3407...3407","1","1","0",6.5,65.5,NA,0.01
"3408...3408","1","1","1",7.5,65.5,236,0.01
"3409...3409","1","1","0",8.5,65.5,NA,0.01
"3410...3410","1","1","0",9.5,65.5,NA,0.01
"3411...3411","1","1","0",10.5,65.5,NA,0.01
"3412...3412","1","1","1",11.5,65.5,223,0.01
"3413...3413","1","1","0",12.5,65.5,NA,0.01
"3414...3414","1","1","0",13.5,65.5,NA,0.01
"3415...3415","1","1","0",14.5,65.5,NA,0.01
"3416...3416","1","1","0",15.5,65.5,NA,0.01
"3417...3417","1","1","0",16.5,65.5,NA,0.01
"3418...3418","1","1","0",17.5,65.5,NA,0.01
"3419...3419","1","1","1",18.5,65.5,227,0.01
"3420...3420","1","1","0",19.5,65.5,NA,0.01
"3421...3421","1","1","0",20.5,65.5,NA,0.01
"3422...3422","1","1","0",21.5,65.5,NA,0.01
"3423...3423","1","1","0",22.5,65.5,NA,0.01
"3424...3424","1","1","0",23.5,65.5,NA,0.01
"3425...3425","1","1","0",24.5,65.5,NA,0.01
"3426...3426","1","1","1",25.5,65.5,237,0.01
"3427...3427","1","1","0",26.5,65.5,NA,0.01
"3428...3428","1","1","0",27.5,65.5,NA,0.01
"3429...3429","1","1","0",28.5,65.5,NA,0.01
"3430...3430","1","1","1",29.5,65.5,238,0.01
"3431...3431","1","1","0",30.5,65.5,NA,0.01
"3432...3432","1","1","0",31.5,65.5,NA,0.01
"3433...3433","1","1","0",32.5,65.5,NA,0.01
"3434...3434","1","1","0",33.5,65.5,NA,0.01
"3435...3435","1","1","0",34.5,65.5,NA,0.01
"3436...3436","1","1","1",35.5,65.5,218,0.01
"3437...3437","1","1","0",36.5,65.5,NA,0.01
"3438...3438","1","1","0",37.5,65.5,NA,0.01
"3439...3439","1","1","0",38.5,65.5,NA,0.01
"3440...3440","1","1","0",39.5,65.5,NA,0.01
"3441...3441","1","1","0",40.5,65.5,NA,0.01
"3442...3442","1","1","0",41.5,65.5,NA,0.01
"3443...3443","1","1","0",42.5,65.5,NA,0.01
"3444...3444","1","1","0",43.5,65.5,NA,0.01
"3445...3445","1","1","0",44.5,65.5,NA,0.01
"3446...3446","1","1","0",45.5,65.5,NA,0.01
"3447...3447","1","1","0",46.5,65.5,NA,0.01
"3448...3448","1","1","0",47.5,65.5,NA,0.01
"3449...3449","1","1","0",48.5,65.5,NA,0.01
"3450...3450","1","1","0",49.5,65.5,NA,0.01
"3451...3451","1","1","0",50.5,65.5,NA,0.01
"3452...3452","1","1","0",51.5,65.5,NA,0.01
"3453...3453","1","1","0",52.5,65.5,NA,0.01
"3454...3454","1","1","0",53.5,65.5,NA,0.01
"3455...3455","1","1","0",54.5,65.5,NA,0.01
"3456...3456","1","1","0",55.5,65.5,NA,0.01
"3457...3457","1","1","0",56.5,65.5,NA,0.01
"3458...3458","1","1","0",57.5,65.5,NA,0.01
"3459...3459","1","1","0",58.5,65.5,NA,0.01
"3460...3460","1","1","0",59.5,65.5,NA,0.01
"3461...3461","1","1","0",60.5,65.5,NA,0.01
"3462...3462","1","1","0",61.5,65.5,NA,0.01
"3463...3463","1","1","0",62.5,65.5,NA,0.01
"3464...3464","1","1","0",63.5,65.5,NA,0.01
"3465...3465","1","1","0",64.5,65.5,NA,0.01
"3466...3466","1","1","1",65.5,65.5,239,0.01
"3467...3467","1","1","0",66.5,65.5,NA,0.01
"3468...3468","1","1","0",67.5,65.5,NA,0.01
"3469...3469","1","1","0",68.5,65.5,NA,0.01
"3470...3470","1","1","0",69.5,65.5,NA,0.01
"3471...3471","1","1","0",70.5,65.5,NA,0.01
"3472...3472","1","1","0",71.5,65.5,NA,0.01
"3473...3473","1","1","0",72.5,65.5,NA,0.01
"3474...3474","1","1","0",73.5,65.5,NA,0.01
"3475...3475","1","1","0",74.5,65.5,NA,0.01
"3476...3476","1","1","0",75.5,65.5,NA,0.01
"3477...3477","1","1","0",76.5,65.5,NA,0.01
"3478...3478","1","1","0",77.5,65.5,NA,0.01
"3479...3479","1","1","0",78.5,65.5,NA,0.01
"3480...3480","1","1","0",79.5,65.5,NA,0.01
"3481...3481","1","1","0",80.5,65.5,NA,0.01
"3482...3482","1","1","0",81.5,65.5,NA,0.01
"3483...3483","1","1","0",82.5,65.5,NA,0.01
"3484...3484","1","1","1",83.5,65.5,240,0.01
"3485...3485","1","1","0",84.5,65.5,NA,0.01
"3486...3486","1","1","0",85.5,65.5,NA,0.01
"3487...3487","1","1","0",86.5,65.5,NA,0.01
"3488...3488","1","1","0",87.5,65.5,NA,0.01
"3489...3489","1","1","0",88.5,65.5,NA,0.01
"3490...3490","1","1","1",89.5,65.5,241,0.01
"3491...3491","1","1","1",90.5,65.5,241,0.01
"3492...3492","1","1","1",91.5,65.5,241,0.01
"3493...3493","1","1","0",92.5,65.5,NA,0.01
"3494...3494","1","1","0",93.5,65.5,NA,0.01
"3495...3495","1","1","1",94.5,65.5,242,0.01
"3496...3496","1","1","0",95.5,65.5,NA,0.01
"3497...3497","1","1","0",96.5,65.5,NA,0.01
"3498...3498","1","1","0",97.5,65.5,NA,0.01
"3499...3499","1","1","0",98.5,65.5,NA,0.01
"3500...3500","1","1","0",99.5,65.5,NA,0.01
"3501...3501","1","1","0",0.5,64.5,NA,0.01
"3502...3502","1","1","0",1.5,64.5,NA,0.01
"3503...3503","1","1","0",2.5,64.5,NA,0.01
"3504...3504","1","1","0",3.5,64.5,NA,0.01
"3505...3505","1","1","0",4.5,64.5,NA,0.01
"3506...3506","1","1","0",5.5,64.5,NA,0.01
"3507...3507","1","1","0",6.5,64.5,NA,0.01
"3508...3508","1","1","0",7.5,64.5,NA,0.01
"3509...3509","1","1","0",8.5,64.5,NA,0.01
"3510...3510","1","1","1",9.5,64.5,243,0.01
"3511...3511","1","1","0",10.5,64.5,NA,0.01
"3512...3512","1","1","0",11.5,64.5,NA,0.01
"3513...3513","1","1","0",12.5,64.5,NA,0.01
"3514...3514","1","1","0",13.5,64.5,NA,0.01
"3515...3515","1","1","0",14.5,64.5,NA,0.01
"3516...3516","1","1","0",15.5,64.5,NA,0.01
"3517...3517","1","1","1",16.5,64.5,227,0.01
"3518...3518","1","1","1",17.5,64.5,227,0.01
"3519...3519","1","1","0",18.5,64.5,NA,0.01
"3520...3520","1","1","0",19.5,64.5,NA,0.01
"3521...3521","1","1","0",20.5,64.5,NA,0.01
"3522...3522","1","1","0",21.5,64.5,NA,0.01
"3523...3523","1","1","1",22.5,64.5,244,0.01
"3524...3524","1","1","0",23.5,64.5,NA,0.01
"3525...3525","1","1","0",24.5,64.5,NA,0.01
"3526...3526","1","1","1",25.5,64.5,237,0.01
"3527...3527","1","1","1",26.5,64.5,237,0.01
"3528...3528","1","1","0",27.5,64.5,NA,0.01
"3529...3529","1","1","0",28.5,64.5,NA,0.01
"3530...3530","1","1","0",29.5,64.5,NA,0.01
"3531...3531","1","1","0",30.5,64.5,NA,0.01
"3532...3532","1","1","0",31.5,64.5,NA,0.01
"3533...3533","1","1","0",32.5,64.5,NA,0.01
"3534...3534","1","1","0",33.5,64.5,NA,0.01
"3535...3535","1","1","0",34.5,64.5,NA,0.01
"3536...3536","1","1","0",35.5,64.5,NA,0.01
"3537...3537","1","1","0",36.5,64.5,NA,0.01
"3538...3538","1","1","0",37.5,64.5,NA,0.01
"3539...3539","1","1","0",38.5,64.5,NA,0.01
"3540...3540","1","1","0",39.5,64.5,NA,0.01
"3541...3541","1","1","0",40.5,64.5,NA,0.01
"3542...3542","1","1","0",41.5,64.5,NA,0.01
"3543...3543","1","1","0",42.5,64.5,NA,0.01
"3544...3544","1","1","0",43.5,64.5,NA,0.01
"3545...3545","1","1","0",44.5,64.5,NA,0.01
"3546...3546","1","1","0",45.5,64.5,NA,0.01
"3547...3547","1","1","0",46.5,64.5,NA,0.01
"3548...3548","1","1","0",47.5,64.5,NA,0.01
"3549...3549","1","1","1",48.5,64.5,245,0.01
"3550...3550","1","1","0",49.5,64.5,NA,0.01
"3551...3551","1","1","1",50.5,64.5,246,0.01
"3552...3552","1","1","0",51.5,64.5,NA,0.01
"3553...3553","1","1","0",52.5,64.5,NA,0.01
"3554...3554","1","1","0",53.5,64.5,NA,0.01
"3555...3555","1","1","0",54.5,64.5,NA,0.01
"3556...3556","1","1","0",55.5,64.5,NA,0.01
"3557...3557","1","1","0",56.5,64.5,NA,0.01
"3558...3558","1","1","0",57.5,64.5,NA,0.01
"3559...3559","1","1","1",58.5,64.5,247,0.01
"3560...3560","1","1","1",59.5,64.5,247,0.01
"3561...3561","1","1","0",60.5,64.5,NA,0.01
"3562...3562","1","1","0",61.5,64.5,NA,0.01
"3563...3563","1","1","1",62.5,64.5,248,0.01
"3564...3564","1","1","0",63.5,64.5,NA,0.01
"3565...3565","1","1","0",64.5,64.5,NA,0.01
"3566...3566","1","1","0",65.5,64.5,NA,0.01
"3567...3567","1","1","0",66.5,64.5,NA,0.01
"3568...3568","1","1","1",67.5,64.5,249,0.01
"3569...3569","1","1","1",68.5,64.5,249,0.01
"3570...3570","1","1","0",69.5,64.5,NA,0.01
"3571...3571","1","1","0",70.5,64.5,NA,0.01
"3572...3572","1","1","0",71.5,64.5,NA,0.01
"3573...3573","1","1","0",72.5,64.5,NA,0.01
"3574...3574","1","1","0",73.5,64.5,NA,0.01
"3575...3575","1","1","0",74.5,64.5,NA,0.01
"3576...3576","1","1","1",75.5,64.5,250,0.01
"3577...3577","1","1","0",76.5,64.5,NA,0.01
"3578...3578","1","1","0",77.5,64.5,NA,0.01
"3579...3579","1","1","0",78.5,64.5,NA,0.01
"3580...3580","1","1","0",79.5,64.5,NA,0.01
"3581...3581","1","1","0",80.5,64.5,NA,0.01
"3582...3582","1","1","1",81.5,64.5,251,0.01
"3583...3583","1","1","0",82.5,64.5,NA,0.01
"3584...3584","1","1","0",83.5,64.5,NA,0.01
"3585...3585","1","1","0",84.5,64.5,NA,0.01
"3586...3586","1","1","0",85.5,64.5,NA,0.01
"3587...3587","1","1","0",86.5,64.5,NA,0.01
"3588...3588","1","1","0",87.5,64.5,NA,0.01
"3589...3589","1","1","0",88.5,64.5,NA,0.01
"3590...3590","1","1","1",89.5,64.5,241,0.01
"3591...3591","1","1","1",90.5,64.5,241,0.01
"3592...3592","1","1","1",91.5,64.5,241,0.01
"3593...3593","1","1","0",92.5,64.5,NA,0.01
"3594...3594","1","1","1",93.5,64.5,242,0.01
"3595...3595","1","1","1",94.5,64.5,242,0.01
"3596...3596","1","1","1",95.5,64.5,242,0.01
"3597...3597","1","1","0",96.5,64.5,NA,0.01
"3598...3598","1","1","0",97.5,64.5,NA,0.01
"3599...3599","1","1","0",98.5,64.5,NA,0.01
"3600...3600","1","1","0",99.5,64.5,NA,0.01
"3601...3601","1","1","0",0.5,63.5,NA,0.01
"3602...3602","1","1","0",1.5,63.5,NA,0.01
"3603...3603","1","1","0",2.5,63.5,NA,0.01
"3604...3604","1","1","0",3.5,63.5,NA,0.01
"3605...3605","1","1","0",4.5,63.5,NA,0.01
"3606...3606","1","1","0",5.5,63.5,NA,0.01
"3607...3607","1","1","0",6.5,63.5,NA,0.01
"3608...3608","1","1","0",7.5,63.5,NA,0.01
"3609...3609","1","1","0",8.5,63.5,NA,0.01
"3610...3610","1","1","0",9.5,63.5,NA,0.01
"3611...3611","1","1","0",10.5,63.5,NA,0.01
"3612...3612","1","1","0",11.5,63.5,NA,0.01
"3613...3613","1","1","1",12.5,63.5,252,0.01
"3614...3614","1","1","1",13.5,63.5,252,0.01
"3615...3615","1","1","0",14.5,63.5,NA,0.01
"3616...3616","1","1","0",15.5,63.5,NA,0.01
"3617...3617","1","1","0",16.5,63.5,NA,0.01
"3618...3618","1","1","0",17.5,63.5,NA,0.01
"3619...3619","1","1","0",18.5,63.5,NA,0.01
"3620...3620","1","1","0",19.5,63.5,NA,0.01
"3621...3621","1","1","1",20.5,63.5,253,0.01
"3622...3622","1","1","0",21.5,63.5,NA,0.01
"3623...3623","1","1","0",22.5,63.5,NA,0.01
"3624...3624","1","1","1",23.5,63.5,244,0.01
"3625...3625","1","1","0",24.5,63.5,NA,0.01
"3626...3626","1","1","1",25.5,63.5,237,0.01
"3627...3627","1","1","0",26.5,63.5,NA,0.01
"3628...3628","1","1","0",27.5,63.5,NA,0.01
"3629...3629","1","1","0",28.5,63.5,NA,0.01
"3630...3630","1","1","0",29.5,63.5,NA,0.01
"3631...3631","1","1","0",30.5,63.5,NA,0.01
"3632...3632","1","1","0",31.5,63.5,NA,0.01
"3633...3633","1","1","0",32.5,63.5,NA,0.01
"3634...3634","1","1","0",33.5,63.5,NA,0.01
"3635...3635","1","1","0",34.5,63.5,NA,0.01
"3636...3636","1","1","0",35.5,63.5,NA,0.01
"3637...3637","1","1","0",36.5,63.5,NA,0.01
"3638...3638","1","1","1",37.5,63.5,254,0.01
"3639...3639","1","1","0",38.5,63.5,NA,0.01
"3640...3640","1","1","0",39.5,63.5,NA,0.01
"3641...3641","1","1","0",40.5,63.5,NA,0.01
"3642...3642","1","1","0",41.5,63.5,NA,0.01
"3643...3643","1","1","0",42.5,63.5,NA,0.01
"3644...3644","1","1","0",43.5,63.5,NA,0.01
"3645...3645","1","1","1",44.5,63.5,255,0.01
"3646...3646","1","1","1",45.5,63.5,255,0.01
"3647...3647","1","1","1",46.5,63.5,255,0.01
"3648...3648","1","1","0",47.5,63.5,NA,0.01
"3649...3649","1","1","0",48.5,63.5,NA,0.01
"3650...3650","1","1","0",49.5,63.5,NA,0.01
"3651...3651","1","1","0",50.5,63.5,NA,0.01
"3652...3652","1","1","0",51.5,63.5,NA,0.01
"3653...3653","1","1","0",52.5,63.5,NA,0.01
"3654...3654","1","1","0",53.5,63.5,NA,0.01
"3655...3655","1","1","0",54.5,63.5,NA,0.01
"3656...3656","1","1","1",55.5,63.5,256,0.01
"3657...3657","1","1","0",56.5,63.5,NA,0.01
"3658...3658","1","1","0",57.5,63.5,NA,0.01
"3659...3659","1","1","0",58.5,63.5,NA,0.01
"3660...3660","1","1","0",59.5,63.5,NA,0.01
"3661...3661","1","1","0",60.5,63.5,NA,0.01
"3662...3662","1","1","0",61.5,63.5,NA,0.01
"3663...3663","1","1","0",62.5,63.5,NA,0.01
"3664...3664","1","1","0",63.5,63.5,NA,0.01
"3665...3665","1","1","0",64.5,63.5,NA,0.01
"3666...3666","1","1","0",65.5,63.5,NA,0.01
"3667...3667","1","1","0",66.5,63.5,NA,0.01
"3668...3668","1","1","0",67.5,63.5,NA,0.01
"3669...3669","1","1","0",68.5,63.5,NA,0.01
"3670...3670","1","1","0",69.5,63.5,NA,0.01
"3671...3671","1","1","0",70.5,63.5,NA,0.01
"3672...3672","1","1","0",71.5,63.5,NA,0.01
"3673...3673","1","1","1",72.5,63.5,257,0.01
"3674...3674","1","1","0",73.5,63.5,NA,0.01
"3675...3675","1","1","0",74.5,63.5,NA,0.01
"3676...3676","1","1","0",75.5,63.5,NA,0.01
"3677...3677","1","1","0",76.5,63.5,NA,0.01
"3678...3678","1","1","0",77.5,63.5,NA,0.01
"3679...3679","1","1","0",78.5,63.5,NA,0.01
"3680...3680","1","1","0",79.5,63.5,NA,0.01
"3681...3681","1","1","0",80.5,63.5,NA,0.01
"3682...3682","1","1","0",81.5,63.5,NA,0.01
"3683...3683","1","1","0",82.5,63.5,NA,0.01
"3684...3684","1","1","0",83.5,63.5,NA,0.01
"3685...3685","1","1","0",84.5,63.5,NA,0.01
"3686...3686","1","1","1",85.5,63.5,258,0.01
"3687...3687","1","1","0",86.5,63.5,NA,0.01
"3688...3688","1","1","1",87.5,63.5,259,0.01
"3689...3689","1","1","0",88.5,63.5,NA,0.01
"3690...3690","1","1","1",89.5,63.5,241,0.01
"3691...3691","1","1","1",90.5,63.5,241,0.01
"3692...3692","1","1","1",91.5,63.5,241,0.01
"3693...3693","1","1","0",92.5,63.5,NA,0.01
"3694...3694","1","1","0",93.5,63.5,NA,0.01
"3695...3695","1","1","0",94.5,63.5,NA,0.01
"3696...3696","1","1","0",95.5,63.5,NA,0.01
"3697...3697","1","1","1",96.5,63.5,242,0.01
"3698...3698","1","1","0",97.5,63.5,NA,0.01
"3699...3699","1","1","0",98.5,63.5,NA,0.01
"3700...3700","1","1","1",99.5,63.5,260,0.01
"3701...3701","1","1","0",0.5,62.5,NA,0.01
"3702...3702","1","1","0",1.5,62.5,NA,0.01
"3703...3703","1","1","1",2.5,62.5,261,0.01
"3704...3704","1","1","0",3.5,62.5,NA,0.01
"3705...3705","1","1","0",4.5,62.5,NA,0.01
"3706...3706","1","1","0",5.5,62.5,NA,0.01
"3707...3707","1","1","0",6.5,62.5,NA,0.01
"3708...3708","1","1","0",7.5,62.5,NA,0.01
"3709...3709","1","1","0",8.5,62.5,NA,0.01
"3710...3710","1","1","0",9.5,62.5,NA,0.01
"3711...3711","1","1","0",10.5,62.5,NA,0.01
"3712...3712","1","1","0",11.5,62.5,NA,0.01
"3713...3713","1","1","0",12.5,62.5,NA,0.01
"3714...3714","1","1","1",13.5,62.5,252,0.01
"3715...3715","1","1","1",14.5,62.5,252,0.01
"3716...3716","1","1","0",15.5,62.5,NA,0.01
"3717...3717","1","1","0",16.5,62.5,NA,0.01
"3718...3718","1","1","0",17.5,62.5,NA,0.01
"3719...3719","1","1","0",18.5,62.5,NA,0.01
"3720...3720","1","1","1",19.5,62.5,253,0.01
"3721...3721","1","1","0",20.5,62.5,NA,0.01
"3722...3722","1","1","0",21.5,62.5,NA,0.01
"3723...3723","1","1","0",22.5,62.5,NA,0.01
"3724...3724","1","1","0",23.5,62.5,NA,0.01
"3725...3725","1","1","0",24.5,62.5,NA,0.01
"3726...3726","1","1","0",25.5,62.5,NA,0.01
"3727...3727","1","1","0",26.5,62.5,NA,0.01
"3728...3728","1","1","0",27.5,62.5,NA,0.01
"3729...3729","1","1","0",28.5,62.5,NA,0.01
"3730...3730","1","1","0",29.5,62.5,NA,0.01
"3731...3731","1","1","0",30.5,62.5,NA,0.01
"3732...3732","1","1","0",31.5,62.5,NA,0.01
"3733...3733","1","1","0",32.5,62.5,NA,0.01
"3734...3734","1","1","0",33.5,62.5,NA,0.01
"3735...3735","1","1","0",34.5,62.5,NA,0.01
"3736...3736","1","1","0",35.5,62.5,NA,0.01
"3737...3737","1","1","0",36.5,62.5,NA,0.01
"3738...3738","1","1","0",37.5,62.5,NA,0.01
"3739...3739","1","1","0",38.5,62.5,NA,0.01
"3740...3740","1","1","0",39.5,62.5,NA,0.01
"3741...3741","1","1","0",40.5,62.5,NA,0.01
"3742...3742","1","1","0",41.5,62.5,NA,0.01
"3743...3743","1","1","0",42.5,62.5,NA,0.01
"3744...3744","1","1","0",43.5,62.5,NA,0.01
"3745...3745","1","1","0",44.5,62.5,NA,0.01
"3746...3746","1","1","0",45.5,62.5,NA,0.01
"3747...3747","1","1","0",46.5,62.5,NA,0.01
"3748...3748","1","1","1",47.5,62.5,255,0.01
"3749...3749","1","1","0",48.5,62.5,NA,0.01
"3750...3750","1","1","0",49.5,62.5,NA,0.01
"3751...3751","1","1","0",50.5,62.5,NA,0.01
"3752...3752","1","1","0",51.5,62.5,NA,0.01
"3753...3753","1","1","0",52.5,62.5,NA,0.01
"3754...3754","1","1","1",53.5,62.5,262,0.01
"3755...3755","1","1","0",54.5,62.5,NA,0.01
"3756...3756","1","1","0",55.5,62.5,NA,0.01
"3757...3757","1","1","0",56.5,62.5,NA,0.01
"3758...3758","1","1","0",57.5,62.5,NA,0.01
"3759...3759","1","1","1",58.5,62.5,263,0.01
"3760...3760","1","1","0",59.5,62.5,NA,0.01
"3761...3761","1","1","0",60.5,62.5,NA,0.01
"3762...3762","1","1","0",61.5,62.5,NA,0.01
"3763...3763","1","1","0",62.5,62.5,NA,0.01
"3764...3764","1","1","0",63.5,62.5,NA,0.01
"3765...3765","1","1","0",64.5,62.5,NA,0.01
"3766...3766","1","1","0",65.5,62.5,NA,0.01
"3767...3767","1","1","1",66.5,62.5,264,0.01
"3768...3768","1","1","0",67.5,62.5,NA,0.01
"3769...3769","1","1","0",68.5,62.5,NA,0.01
"3770...3770","1","1","0",69.5,62.5,NA,0.01
"3771...3771","1","1","0",70.5,62.5,NA,0.01
"3772...3772","1","1","0",71.5,62.5,NA,0.01
"3773...3773","1","1","0",72.5,62.5,NA,0.01
"3774...3774","1","1","1",73.5,62.5,257,0.01
"3775...3775","1","1","0",74.5,62.5,NA,0.01
"3776...3776","1","1","0",75.5,62.5,NA,0.01
"3777...3777","1","1","0",76.5,62.5,NA,0.01
"3778...3778","1","1","0",77.5,62.5,NA,0.01
"3779...3779","1","1","1",78.5,62.5,265,0.01
"3780...3780","1","1","0",79.5,62.5,NA,0.01
"3781...3781","1","1","0",80.5,62.5,NA,0.01
"3782...3782","1","1","0",81.5,62.5,NA,0.01
"3783...3783","1","1","0",82.5,62.5,NA,0.01
"3784...3784","1","1","1",83.5,62.5,266,0.01
"3785...3785","1","1","0",84.5,62.5,NA,0.01
"3786...3786","1","1","1",85.5,62.5,258,0.01
"3787...3787","1","1","0",86.5,62.5,NA,0.01
"3788...3788","1","1","0",87.5,62.5,NA,0.01
"3789...3789","1","1","0",88.5,62.5,NA,0.01
"3790...3790","1","1","0",89.5,62.5,NA,0.01
"3791...3791","1","1","0",90.5,62.5,NA,0.01
"3792...3792","1","1","0",91.5,62.5,NA,0.01
"3793...3793","1","1","0",92.5,62.5,NA,0.01
"3794...3794","1","1","0",93.5,62.5,NA,0.01
"3795...3795","1","1","0",94.5,62.5,NA,0.01
"3796...3796","1","1","0",95.5,62.5,NA,0.01
"3797...3797","1","1","0",96.5,62.5,NA,0.01
"3798...3798","1","1","0",97.5,62.5,NA,0.01
"3799...3799","1","1","0",98.5,62.5,NA,0.01
"3800...3800","1","1","0",99.5,62.5,NA,0.01
"3801...3801","1","1","0",0.5,61.5,NA,0.01
"3802...3802","1","1","0",1.5,61.5,NA,0.01
"3803...3803","1","1","1",2.5,61.5,261,0.01
"3804...3804","1","1","0",3.5,61.5,NA,0.01
"3805...3805","1","1","0",4.5,61.5,NA,0.01
"3806...3806","1","1","0",5.5,61.5,NA,0.01
"3807...3807","1","1","0",6.5,61.5,NA,0.01
"3808...3808","1","1","0",7.5,61.5,NA,0.01
"3809...3809","1","1","0",8.5,61.5,NA,0.01
"3810...3810","1","1","0",9.5,61.5,NA,0.01
"3811...3811","1","1","0",10.5,61.5,NA,0.01
"3812...3812","1","1","0",11.5,61.5,NA,0.01
"3813...3813","1","1","1",12.5,61.5,252,0.01
"3814...3814","1","1","0",13.5,61.5,NA,0.01
"3815...3815","1","1","0",14.5,61.5,NA,0.01
"3816...3816","1","1","0",15.5,61.5,NA,0.01
"3817...3817","1","1","0",16.5,61.5,NA,0.01
"3818...3818","1","1","0",17.5,61.5,NA,0.01
"3819...3819","1","1","0",18.5,61.5,NA,0.01
"3820...3820","1","1","0",19.5,61.5,NA,0.01
"3821...3821","1","1","0",20.5,61.5,NA,0.01
"3822...3822","1","1","0",21.5,61.5,NA,0.01
"3823...3823","1","1","0",22.5,61.5,NA,0.01
"3824...3824","1","1","0",23.5,61.5,NA,0.01
"3825...3825","1","1","0",24.5,61.5,NA,0.01
"3826...3826","1","1","0",25.5,61.5,NA,0.01
"3827...3827","1","1","0",26.5,61.5,NA,0.01
"3828...3828","1","1","0",27.5,61.5,NA,0.01
"3829...3829","1","1","0",28.5,61.5,NA,0.01
"3830...3830","1","1","0",29.5,61.5,NA,0.01
"3831...3831","1","1","0",30.5,61.5,NA,0.01
"3832...3832","1","1","0",31.5,61.5,NA,0.01
"3833...3833","1","1","0",32.5,61.5,NA,0.01
"3834...3834","1","1","0",33.5,61.5,NA,0.01
"3835...3835","1","1","0",34.5,61.5,NA,0.01
"3836...3836","1","1","0",35.5,61.5,NA,0.01
"3837...3837","1","1","0",36.5,61.5,NA,0.01
"3838...3838","1","1","0",37.5,61.5,NA,0.01
"3839...3839","1","1","0",38.5,61.5,NA,0.01
"3840...3840","1","1","0",39.5,61.5,NA,0.01
"3841...3841","1","1","0",40.5,61.5,NA,0.01
"3842...3842","1","1","0",41.5,61.5,NA,0.01
"3843...3843","1","1","0",42.5,61.5,NA,0.01
"3844...3844","1","1","0",43.5,61.5,NA,0.01
"3845...3845","1","1","0",44.5,61.5,NA,0.01
"3846...3846","1","1","1",45.5,61.5,267,0.01
"3847...3847","1","1","0",46.5,61.5,NA,0.01
"3848...3848","1","1","0",47.5,61.5,NA,0.01
"3849...3849","1","1","0",48.5,61.5,NA,0.01
"3850...3850","1","1","0",49.5,61.5,NA,0.01
"3851...3851","1","1","1",50.5,61.5,268,0.01
"3852...3852","1","1","0",51.5,61.5,NA,0.01
"3853...3853","1","1","0",52.5,61.5,NA,0.01
"3854...3854","1","1","0",53.5,61.5,NA,0.01
"3855...3855","1","1","1",54.5,61.5,262,0.01
"3856...3856","1","1","0",55.5,61.5,NA,0.01
"3857...3857","1","1","0",56.5,61.5,NA,0.01
"3858...3858","1","1","1",57.5,61.5,263,0.01
"3859...3859","1","1","0",58.5,61.5,NA,0.01
"3860...3860","1","1","1",59.5,61.5,263,0.01
"3861...3861","1","1","0",60.5,61.5,NA,0.01
"3862...3862","1","1","0",61.5,61.5,NA,0.01
"3863...3863","1","1","0",62.5,61.5,NA,0.01
"3864...3864","1","1","0",63.5,61.5,NA,0.01
"3865...3865","1","1","0",64.5,61.5,NA,0.01
"3866...3866","1","1","1",65.5,61.5,264,0.01
"3867...3867","1","1","0",66.5,61.5,NA,0.01
"3868...3868","1","1","0",67.5,61.5,NA,0.01
"3869...3869","1","1","0",68.5,61.5,NA,0.01
"3870...3870","1","1","0",69.5,61.5,NA,0.01
"3871...3871","1","1","0",70.5,61.5,NA,0.01
"3872...3872","1","1","0",71.5,61.5,NA,0.01
"3873...3873","1","1","0",72.5,61.5,NA,0.01
"3874...3874","1","1","0",73.5,61.5,NA,0.01
"3875...3875","1","1","0",74.5,61.5,NA,0.01
"3876...3876","1","1","1",75.5,61.5,269,0.01
"3877...3877","1","1","0",76.5,61.5,NA,0.01
"3878...3878","1","1","0",77.5,61.5,NA,0.01
"3879...3879","1","1","0",78.5,61.5,NA,0.01
"3880...3880","1","1","0",79.5,61.5,NA,0.01
"3881...3881","1","1","0",80.5,61.5,NA,0.01
"3882...3882","1","1","0",81.5,61.5,NA,0.01
"3883...3883","1","1","0",82.5,61.5,NA,0.01
"3884...3884","1","1","0",83.5,61.5,NA,0.01
"3885...3885","1","1","0",84.5,61.5,NA,0.01
"3886...3886","1","1","0",85.5,61.5,NA,0.01
"3887...3887","1","1","0",86.5,61.5,NA,0.01
"3888...3888","1","1","0",87.5,61.5,NA,0.01
"3889...3889","1","1","0",88.5,61.5,NA,0.01
"3890...3890","1","1","0",89.5,61.5,NA,0.01
"3891...3891","1","1","0",90.5,61.5,NA,0.01
"3892...3892","1","1","0",91.5,61.5,NA,0.01
